,Product Category,Discount Level,Levels Tested Against,P-Value,Reject
0,Dairy Products,01-05%,['00%'],0.01778,Reject Null Hypothesis
1,Dairy Products,06-10%,['01-05%'],0.78404,Do not reject Null Hypothesis
2,Dairy Products,15%,"['01-05%', '06-10%']",0.37972,Do not reject Null Hypothesis
3,Dairy Products,20%,"['01-05%', '06-10%', '15%']",0.1803,Do not reject Null Hypothesis
4,Dairy Products,25%,"['01-05%', '06-10%', '15%', '20%']",0.14162,Do not reject Null Hypothesis
5,Grains/Cereals,01-05%,['00%'],0.67286,Do not reject Null Hypothesis
6,Grains/Cereals,06-10%,"['00%', '01-05%']",0.09508,Do not reject Null Hypothesis
7,Grains/Cereals,15%,"['00%', '01-05%', '06-10%']",0.445,Do not reject Null Hypothesis
8,Grains/Cereals,20%,"['00%', '01-05%', '06-10%', '15%']",0.173,Do not reject Null Hypothesis
9,Grains/Cereals,25%,"['00%', '01-05%', '06-10%', '15%', '20%']",0.56216,Do not reject Null Hypothesis
10,Produce,01-05%,['00%'],0.13576,Do not reject Null Hypothesis
11,Produce,06-10%,"['00%', '01-05%']",0.42064,Do not reject Null Hypothesis
12,Produce,15%,"['00%', '01-05%', '06-10%']",0.44978,Do not reject Null Hypothesis
13,Produce,20%,"['00%', '01-05%', '06-10%', '15%']",0.46266,Do not reject Null Hypothesis
14,Produce,25%,"['00%', '01-05%', '06-10%', '15%', '20%']",0.24806,Do not reject Null Hypothesis
15,Seafood,01-05%,['00%'],0.4003,Do not reject Null Hypothesis
16,Seafood,06-10%,"['00%', '01-05%']",0.3557,Do not reject Null Hypothesis
17,Seafood,15%,"['00%', '01-05%', '06-10%']",0.00104,Reject Null Hypothesis
18,Seafood,20%,['15%'],0.91012,Do not reject Null Hypothesis
19,Seafood,25%,"['15%', '20%']",0.9848,Do not reject Null Hypothesis
20,Condiments,01-05%,['00%'],0.00098,Reject Null Hypothesis
21,Condiments,06-10%,['01-05%'],0.95932,Do not reject Null Hypothesis
22,Condiments,15%,"['01-05%', '06-10%']",0.41854,Do not reject Null Hypothesis
23,Condiments,20%,"['01-05%', '06-10%', '15%']",0.85078,Do not reject Null Hypothesis
24,Condiments,25%,"['01-05%', '06-10%', '15%', '20%']",0.11268,Do not reject Null Hypothesis
25,Confections,01-05%,['00%'],0.21176,Do not reject Null Hypothesis
26,Confections,06-10%,"['00%', '01-05%']",0.95098,Do not reject Null Hypothesis
27,Confections,15%,"['00%', '01-05%', '06-10%']",0.06132,Do not reject Null Hypothesis
28,Confections,20%,"['00%', '01-05%', '06-10%', '15%']",0.79054,Do not reject Null Hypothesis
29,Confections,25%,"['00%', '01-05%', '06-10%', '15%', '20%']",0.0466,Reject Null Hypothesis
30,Beverages,01-05%,['00%'],0.00078,Reject Null Hypothesis
31,Beverages,06-10%,['01-05%'],0.75652,Do not reject Null Hypothesis
32,Beverages,15%,"['01-05%', '06-10%']",0.91838,Do not reject Null Hypothesis
33,Beverages,20%,"['01-05%', '06-10%', '15%']",0.45816,Do not reject Null Hypothesis
34,Beverages,25%,"['01-05%', '06-10%', '15%', '20%']",0.87628,Do not reject Null Hypothesis
35,Meat/Poultry,01-05%,['00%'],0.68886,Do not reject Null Hypothesis
36,Meat/Poultry,06-10%,"['00%', '01-05%']",0.00722,Reject Null Hypothesis
37,Meat/Poultry,15%,['06-10%'],0.59106,Do not reject Null Hypothesis
38,Meat/Poultry,20%,"['06-10%', '15%']",0.90366,Do not reject Null Hypothesis
39,Meat/Poultry,25%,"['06-10%', '15%', '20%']",0.2561,Do not reject Null Hypothesis
